,type-id,instance-id,timestamp,value
27515,263251,224285,2010-11-20,0.98
27539,263251,224285,2010-11-21,0.98
27563,263251,224285,2010-11-22,0.98
27587,263251,224285,2010-11-23,0.9
27611,263251,224285,2010-11-24,0.85
27635,263251,224285,2010-11-25,0.48
27659,263251,224285,2010-11-26,0.31
27683,263251,224285,2010-11-27,1.0
27707,263251,224285,2010-11-28,0.96
27731,263251,224285,2010-11-29,0.89
27755,263251,224285,2010-11-30,0.93
27779,263251,224285,2010-12-01,1.0
27803,263251,224285,2010-12-02,0.79
27827,263251,224285,2010-12-03,1.0
27851,263251,224285,2010-12-04,1.0
27875,263251,224285,2010-12-05,0.83
27899,263251,224285,2010-12-06,1.0
27923,263251,224285,2010-12-07,0.76
27947,263251,224285,2010-12-08,0.57
27971,263251,224285,2010-12-09,0.98
27995,263251,224285,2010-12-10,0.97
28019,263251,224285,2010-12-11,0.96
28043,263251,224285,2010-12-12,0.72
28067,263251,224285,2010-12-13,0.52
28091,263251,224285,2010-12-14,1.0
28115,263251,224285,2010-12-15,0.69
28139,263251,224285,2010-12-16,0.66
28163,263251,224285,2010-12-17,0.62
28187,263251,224285,2010-12-18,0.99
28211,263251,224285,2010-12-19,1.0
28235,263251,224285,2010-12-20,0.98
28259,263251,224285,2010-12-21,0.72
28283,263251,224285,2010-12-22,0.76
28307,263251,224285,2010-12-23,0.83
28331,263251,224285,2010-12-24,0.53
28355,263251,224285,2010-12-25,0.35
28379,263251,224285,2010-12-26,0.7
28403,263251,224285,2010-12-27,0.82
28427,263251,224285,2010-12-28,1.0
28451,263251,224285,2010-12-29,0.97
28475,263251,224285,2010-12-30,0.93
28499,263251,224285,2010-12-31,0.93
28523,263251,224285,2011-01-01,0.88
28547,263251,224285,2011-01-02,0.82
28571,263251,224285,2011-01-03,0.57
28595,263251,224285,2011-01-04,0.72
28619,263251,224285,2011-01-05,0.49
28643,263251,224285,2011-01-06,0.25
28667,263251,224285,2011-01-07,0.37
28691,263251,224285,2011-01-08,0.92
28715,263251,224285,2011-01-09,0.68
28739,263251,224285,2011-01-10,0.81
28763,263251,224285,2011-01-11,0.49
28787,263251,224285,2011-01-12,0.83
28811,263251,224285,2011-01-13,0.95
28835,263251,224285,2011-01-14,0.78
28859,263251,224285,2011-01-15,0.74
28883,263251,224285,2011-01-16,1.0
28907,263251,224285,2011-01-17,0.77
28931,263251,224285,2011-01-18,0.56
28955,263251,224285,2011-01-19,0.8
28979,263251,224285,2011-01-20,0.68
29003,263251,224285,2011-01-21,0.6
29027,263251,224285,2011-01-22,0.64
29051,263251,224285,2011-01-23,0.36
29075,263251,224285,2011-01-24,0.79
29099,263251,224285,2011-01-25,0.75
29123,263251,224285,2011-01-26,0.51
29147,263251,224285,2011-01-27,0.28
29171,263251,224285,2011-01-28,0.37
29195,263251,224285,2011-01-29,0.45
29219,263251,224285,2011-01-30,0.76
29243,263251,224285,2011-01-31,0.77
29267,263251,224285,2011-02-01,0.41
29291,263251,224285,2011-02-02,0.31
29315,263251,224285,2011-02-03,0.34
29339,263251,224285,2011-02-04,0.63
29363,263251,224285,2011-02-05,0.78
29387,263251,224285,2011-02-06,1.0
29411,263251,224285,2011-02-07,0.55
29435,263251,224285,2011-02-08,0.81
29459,263251,224285,2011-02-09,0.68
29483,263251,224285,2011-02-10,0.48
29507,263251,224285,2011-02-11,0.35
29531,263251,224285,2011-02-12,0.26
29555,263251,224285,2011-02-13,0.23
29579,263251,224285,2011-02-14,0.33
29603,263251,224285,2011-02-15,0.34
29627,263251,224285,2011-02-16,0.99
29651,263251,224285,2011-02-17,0.66
29675,263251,224285,2011-02-18,0.74
29699,263251,224285,2011-02-19,0.99
29723,263251,224285,2011-02-20,0.96
29747,263251,224285,2011-02-21,0.56
29771,263251,224285,2011-02-22,0.73
29795,263251,224285,2011-02-23,0.59
29819,263251,224285,2011-02-24,0.85
29843,263251,224285,2011-02-25,0.84
29867,263251,224285,2011-02-26,0.53
29891,263251,224285,2011-02-27,0.64
29915,263251,224285,2011-02-28,0.56
29939,263251,224285,2011-03-01,0.32
29963,263251,224285,2011-03-02,0.61
29987,263251,224285,2011-03-03,0.79
30011,263251,224285,2011-03-04,0.6
30035,263251,224285,2011-03-05,0.95
30059,263251,224285,2011-03-06,1.0
30083,263251,224285,2011-03-07,0.98
30107,263251,224285,2011-03-08,0.97
30131,263251,224285,2011-03-09,0.83
30155,263251,224285,2011-03-10,0.47
30179,263251,224285,2011-03-11,0.65
30203,263251,224285,2011-03-12,0.53
30227,263251,224285,2011-03-13,0.51
30251,263251,224285,2011-03-14,0.7
30275,263251,224285,2011-03-15,0.94
30299,263251,224285,2011-03-16,1.0
30323,263251,224285,2011-03-17,0.91
30347,263251,224285,2011-03-18,0.41
30371,263251,224285,2011-03-19,0.67
30395,263251,224285,2011-03-20,0.56
30419,263251,224285,2011-03-21,0.8
30443,263251,224285,2011-03-22,0.97
